week_start,week_end,SC_cases,TX_cases,UT_cases,PA_cases,AZ_cases,WI_cases
2025-01-05,2025-01-11,0,0,0,0,0,0
2025-01-12,2025-01-18,0,0,0,0,0,0
2025-01-19,2025-01-25,0,11,0,0,0,0
2025-01-26,2025-02-01,0,20,0,0,0,0
2025-02-02,2025-02-08,0,27,0,0,0,0
2025-02-09,2025-02-15,0,50,0,0,0,0
2025-02-16,2025-02-22,0,68,0,0,0,0
2025-02-23,2025-03-01,0,61,0,0,0,0
2025-03-02,2025-03-08,0,68,0,1,0,0
2025-03-09,2025-03-15,0,65,0,0,0,0
2025-03-16,2025-03-22,0,84,0,0,0,0
2025-03-23,2025-03-29,0,67,0,3,0,0
2025-03-30,2025-04-05,0,67,0,2,0,0
2025-04-06,2025-04-12,0,55,0,1,0,0
2025-04-13,2025-04-19,0,44,0,3,0,0
2025-04-20,2025-04-26,0,23,0,0,0,0
2025-04-27,2025-05-03,0,23,0,0,0,0
2025-05-04,2025-05-10,0,11,0,3,0,0
2025-05-11,2025-05-17,0,8,0,0,0,0
2025-05-18,2025-05-24,0,16,0,0,0,0
2025-05-25,2025-05-31,0,11,0,0,0,0
2025-06-01,2025-06-07,0,5,0,0,0,0
2025-06-08,2025-06-14,0,2,0,0,4,0
2025-06-15,2025-06-21,0,3,1,0,0,0
2025-06-22,2025-06-28,0,6,6,0,0,0
2025-06-29,2025-07-05,0,2,2,0,0,0
2025-07-06,2025-07-12,0,0,0,0,0,0
2025-07-13,2025-07-19,0,1,1,0,0,1
2025-07-20,2025-07-26,0,0,1,0,0,4
2025-07-27,2025-08-02,0,0,0,0,0,4
2025-08-03,2025-08-09,0,3,0,0,0,0
2025-08-10,2025-08-16,0,0,0,0,1,2
2025-08-17,2025-08-23,0,0,2,1,8,13
2025-08-24,2025-08-30,0,0,1,0,3,3
2025-08-31,2025-09-06,0,1,3,0,12,8
2025-09-07,2025-09-13,1,0,13,0,6,1
2025-09-14,2025-09-20,0,0,1,0,12,0
2025-09-21,2025-09-27,1,0,13,0,6,0
2025-09-28,2025-10-04,4,0,3,0,7,0
2025-10-05,2025-10-11,2,0,7,0,4,0
2025-10-12,2025-10-18,7,0,3,0,14,0
2025-10-19,2025-10-25,6,0,1,0,7,0
2025-10-26,2025-11-01,12,1,6,0,13,0
2025-11-02,2025-11-08,1,0,3,0,14,0
2025-11-09,2025-11-15,10,0,7,0,17,0
2025-11-16,2025-11-22,8,0,13,0,9,0
2025-11-23,2025-11-29,13,0,15,0,16,0
2025-11-30,2025-12-06,22,0,3,0,2,0
2025-12-07,2025-12-13,42,0,10,0,21,0
2025-12-14,2025-12-20,18,0,10,2,14,0
2025-12-21,2025-12-27,12,0,17,0,5,0
2025-12-28,2026-01-03,174,0,55,0,27,0
2026-01-04,2026-01-10,63,0,5,0,0,0
2026-01-11,2026-01-17,165,0,7,0,1,0
2026-01-18,2026-01-24,142,0,8,0,9,1
2026-01-25,2026-01-31,147,0,20,0,10,1
2026-02-01,2026-02-07,73,0,14,6,10,0
2026-02-08,2026-02-14,13,0,21,1,11,0
2026-02-15,2026-02-21,0,0,28,3,6,0
2026-02-22,2026-02-28,0,27,19,2,6,0
2026-03-01,2026-03-07,0,0,39,0,1,0
2026-03-08,2026-03-14,0,109,47,0,0,0
2026-03-15,2026-03-21,64,11,38,0,2,0
2026-03-22,2026-03-28,0,23,43,0,2,0
2026-03-29,2026-04-04,0,5,73,0,11,0
2026-04-05,2026-04-11,0,1,24,0,1,0
2026-04-12,2026-04-18,1,4,19,0,7,0
2026-04-19,2026-04-25,0,0,5,0,7,0
2026-04-26,2026-05-02,0,1,18,0,2,0
2026-05-03,2026-05-09,1,0,12,11,3,0
2026-05-10,2026-05-16,0,0,25,0,4,0
2026-05-17,2026-05-23,0,1,8,0,1,0
2026-05-24,2026-05-30,0,0,3,14,1,0
2026-05-31,2026-06-06,1,0,2,23,0,0
2026-06-07,2026-06-13,1,0,4,4,0,0
2026-06-14,2026-06-20,0,0,8,3,0,0
2026-06-21,2026-06-27,0,0,9,17,2,0
2026-06-28,2026-07-04,0,0,2,5,3,0
2026-07-05,2026-07-11,0,0,5,15,8,0
2026-07-12,2026-07-18,0,1,3,7,6,0
2026-07-19,2026-07-25,0,5,5,20,5,0
2026-07-26,2026-08-01,0,0,0,36,1,0
2026-08-02,2026-08-08,0,3,2,59,1,0
2026-08-09,2026-08-15,0,0,2,69,1,21
2026-08-16,2026-08-22,0,0,0,83,0,20
2026-08-23,2026-08-29,0,1,0,82,0,51
2026-08-30,2026-09-05,0,0,0,117,0,44
2026-09-06,2026-09-12,0,0,0,99,0,19
